                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2952,                 2.7553,                 1.3733,                0.29691,                0.44729,                0.24323,                0.13827,                 1.2717,                 2.9432,                 1.3822,             0.00040923,             0.00040923,             0.00040923
                      2,                 1.2592,                 2.1942,                 1.3369,                0.19103,                0.40656,                0.17789,                0.08957,                 1.5304,                 4.2658,                 1.7292,             0.00081772,             0.00081772,             0.00081772
                      3,                 1.3197,                 2.2332,                 1.3766,                0.17523,                0.32018,                0.13553,                 0.0674,                 1.6917,                 6.4212,                 1.6485,               0.001218,               0.001218,               0.001218
                      4,                 1.3791,                 2.2593,                 1.4305,                0.20703,                0.21462,                0.13575,                0.07289,                 1.6228,                 3.3393,                 1.5742,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3302,                 2.1746,                 1.3751,                0.24357,                0.25427,                0.16484,                0.09181,                 1.6363,                  3.077,                 1.6448,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3128,                 2.1008,                 1.3826,                0.26264,                0.34841,                 0.2368,                0.12879,                 1.4764,                 2.3601,                 1.5004,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.276,                 1.9805,                 1.3564,                0.33041,                 0.4641,                0.30779,                0.17819,                 1.3492,                 2.2617,                 1.4027,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2417,                 1.9171,                 1.3281,                0.26865,                0.46514,                0.23867,                0.12968,                 1.4873,                 2.3673,                 1.4629,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2201,                 1.8826,                 1.3078,                0.49272,                0.31387,                0.32727,                0.18497,                 1.3502,                  2.099,                 1.3846,               0.001151,               0.001151,               0.001151
                     10,                 1.2292,                 1.8576,                  1.312,                0.36335,                 0.4149,                0.32427,                0.19114,                  1.262,                 2.0004,                 1.3669,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1558,                 1.7603,                 1.2623,                0.47722,                0.45098,                0.39537,                0.24068,                 1.2506,                 2.0262,                 1.3091,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1609,                 1.7494,                 1.2864,                0.40452,                0.42117,                0.40564,                0.25463,                 1.1981,                 1.9233,                 1.2619,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1288,                 1.7371,                 1.2485,                0.43523,                 0.4646,                 0.4289,                0.26361,                 1.2137,                 1.8498,                 1.3009,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1304,                 1.6643,                 1.2588,                 0.3491,                0.45857,                0.36694,                0.22663,                 1.2854,                 1.9934,                  1.321,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1064,                 1.6082,                 1.2216,                0.44179,                 0.5082,                 0.4492,                0.27941,                 1.2775,                 1.9499,                 1.3057,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0819,                 1.6173,                 1.2165,                0.42736,                0.46647,                0.44662,                0.29054,                 1.1409,                 1.7308,                  1.214,              0.0010644,              0.0010644,              0.0010644
                     17,                  1.097,                 1.6034,                 1.2415,                0.35457,                0.52927,                0.41017,                0.25926,                 1.1986,                 1.7758,                  1.279,               0.001052,               0.001052,               0.001052
                     18,                 1.0591,                  1.523,                 1.2228,                0.50289,                0.52296,                0.51628,                0.34341,                 1.1045,                 1.5911,                 1.2147,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0589,                  1.504,                 1.2192,                0.53359,                0.51332,                0.52853,                0.34264,                 1.1688,                 1.6923,                 1.2725,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0477,                 1.4869,                 1.2131,                0.43164,                0.51954,                0.45978,                0.29742,                 1.1883,                 1.7457,                 1.2882,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0259,                 1.4804,                  1.209,                0.52173,                0.54584,                0.52975,                0.34163,                 1.1622,                 1.5959,                 1.2559,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.037,                 1.3901,                 1.2014,                0.59259,                0.48803,                0.53389,                0.34329,                 1.1533,                 1.6364,                 1.2564,             0.00099013,             0.00099013,             0.00099013
                     23,                0.99937,                 1.4214,                 1.1903,                 0.5184,                0.48233,                0.45917,                0.30338,                 1.1419,                 1.7619,                 1.2598,             0.00097775,             0.00097775,             0.00097775
                     24,                0.98206,                  1.339,                 1.1557,                0.52202,                0.54901,                0.53376,                0.35545,                 1.1562,                 1.5935,                 1.2392,             0.00096537,             0.00096537,             0.00096537
                     25,                0.96766,                 1.2548,                  1.153,                0.49878,                 0.5088,                 0.4834,                0.31596,                 1.1947,                 1.6947,                 1.2861,               0.000953,               0.000953,               0.000953
                     26,                0.95435,                 1.3085,                 1.1528,                0.51663,                0.50048,                0.48481,                0.31689,                 1.1556,                 1.7414,                 1.2403,             0.00094062,             0.00094062,             0.00094062
                     27,                0.95347,                  1.273,                 1.1631,                0.50976,                0.48931,                0.48051,                 0.3304,                 1.1199,                 1.8071,                 1.2479,             0.00092825,             0.00092825,             0.00092825
                     28,                0.91515,                 1.2435,                 1.1324,                0.60635,                0.42259,                0.50076,                0.33046,                 1.1596,                 1.7197,                 1.2913,             0.00091588,             0.00091588,             0.00091588
                     29,                0.95434,                 1.2398,                 1.1458,                0.61488,                0.43786,                0.49458,                0.34185,                 1.0887,                 1.6785,                  1.194,              0.0009035,              0.0009035,              0.0009035
                     30,                0.94405,                  1.208,                 1.1346,                0.52327,                0.56216,                0.53667,                0.36662,                 1.0682,                 1.5282,                 1.1984,             0.00089112,             0.00089112,             0.00089112
                     31,                0.94635,                 1.2326,                 1.1374,                0.56205,                  0.519,                0.53767,                0.38503,                 1.0471,                 1.5211,                 1.1997,             0.00087875,             0.00087875,             0.00087875
                     32,                0.94391,                 1.1818,                 1.1403,                0.47881,                0.54037,                 0.5164,                0.35093,                   1.12,                 1.5995,                 1.2706,             0.00086637,             0.00086637,             0.00086637
                     33,                0.90138,                 1.1364,                  1.124,                0.52077,                0.59343,                0.56311,                0.37543,                 1.1512,                  1.633,                 1.2925,               0.000854,               0.000854,               0.000854
                     34,                0.87472,                 1.1072,                 1.1096,                0.60074,                0.55174,                0.59249,                0.39896,                 1.1215,                 1.4633,                  1.237,             0.00084162,             0.00084162,             0.00084162
                     35,                0.88118,                 1.1015,                 1.1134,                0.52494,                0.57809,                0.55648,                0.37363,                 1.1276,                 1.6356,                  1.278,             0.00082925,             0.00082925,             0.00082925
                     36,                0.88234,                 1.1189,                 1.1198,                0.56065,                0.50687,                0.51663,                0.35323,                 1.0868,                 1.6469,                 1.2293,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.8613,                 1.0436,                 1.1104,                0.59348,                0.55734,                0.58311,                0.38243,                  1.183,                  1.586,                 1.2561,              0.0008045,              0.0008045,              0.0008045
                     38,                0.86057,                 1.0777,                 1.0964,                0.57602,                0.51939,                0.53202,                0.35267,                 1.1642,                 1.5282,                 1.3002,             0.00079213,             0.00079213,             0.00079213
                     39,                0.87259,                 1.0566,                 1.0988,                0.64484,                0.54006,                0.58229,                0.39223,                 1.1412,                 1.4666,                 1.2738,             0.00077975,             0.00077975,             0.00077975
                     40,                0.85749,                0.99993,                 1.0913,                0.66269,                0.55843,                0.59002,                0.39189,                  1.084,                 1.5133,                 1.2418,             0.00076738,             0.00076738,             0.00076738
                     41,                0.84696,                0.97541,                 1.0991,                0.59864,                0.48739,                0.56504,                0.38334,                 1.0651,                 1.5521,                 1.2049,               0.000755,               0.000755,               0.000755
                     42,                0.83632,                0.97419,                 1.0733,                0.61071,                0.48275,                0.54737,                0.36725,                 1.1891,                 1.5558,                 1.2925,             0.00074263,             0.00074263,             0.00074263
                     43,                0.83073,                0.95164,                 1.0813,                0.51637,                0.50105,                0.52909,                0.35604,                 1.1515,                 1.6685,                 1.2507,             0.00073025,             0.00073025,             0.00073025
                     44,                0.83339,                0.95705,                 1.0783,                0.60721,                0.46879,                0.51892,                0.36005,                  1.093,                 1.7214,                 1.2307,             0.00071788,             0.00071788,             0.00071788
                     45,                0.81773,                0.94069,                 1.0732,                0.49665,                0.49635,                0.51549,                0.34412,                 1.1516,                 1.6249,                 1.2798,              0.0007055,              0.0007055,              0.0007055
                     46,                0.82895,                0.93109,                 1.0866,                0.57073,                0.53671,                0.56575,                0.37731,                 1.1098,                 1.5103,                 1.2485,             0.00069313,             0.00069313,             0.00069313
                     47,                0.80782,                0.91943,                 1.0694,                0.62847,                0.53279,                0.59694,                0.39275,                 1.0853,                 1.5335,                 1.2297,             0.00068075,             0.00068075,             0.00068075
                     48,                0.78896,                 0.8802,                 1.0597,                0.61463,                0.55427,                0.56496,                0.39695,                 1.0983,                 1.5336,                 1.2307,             0.00066838,             0.00066838,             0.00066838
                     49,                0.78135,                0.88689,                 1.0583,                0.66646,                0.48786,                0.57555,                0.38342,                 1.1042,                 1.5828,                 1.2295,               0.000656,               0.000656,               0.000656
                     50,                0.77034,                0.87564,                 1.0424,                0.66962,                0.53346,                 0.5972,                 0.4099,                 1.0795,                 1.4986,                 1.2154,             0.00064362,             0.00064362,             0.00064362
                     51,                0.78057,                0.86601,                 1.0424,                0.67264,                0.44617,                0.52788,                0.37152,                 1.0532,                 1.6401,                 1.1831,             0.00063125,             0.00063125,             0.00063125
                     52,                0.76807,                0.88079,                 1.0497,                 0.6684,                0.51499,                0.59402,                 0.4179,                 1.0319,                  1.521,                 1.1903,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75448,                0.83192,                 1.0491,                0.63634,                0.56679,                0.62231,                0.41331,                 1.0607,                 1.3433,                 1.1972,              0.0006065,              0.0006065,              0.0006065
                     54,                0.75095,                0.81755,                 1.0308,                0.64228,                0.52958,                0.59383,                0.42527,                 1.0253,                 1.4639,                  1.191,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75071,                0.79531,                 1.0328,                 0.5964,                0.58957,                0.59196,                0.40996,                   1.02,                 1.4118,                 1.1647,             0.00058175,             0.00058175,             0.00058175
                     56,                0.73991,                0.77088,                 1.0328,                0.68708,                0.53529,                0.60692,                0.41632,                 1.0845,                 1.4672,                 1.2292,             0.00056938,             0.00056938,             0.00056938
                     57,                0.74158,                0.80441,                 1.0315,                0.67364,                0.57549,                0.61013,                0.41261,                   1.07,                 1.3936,                 1.2131,               0.000557,               0.000557,               0.000557
                     58,                0.72126,                0.77836,                 1.0171,                0.62049,                0.54112,                0.55712,                0.39768,                 1.0453,                 1.5219,                  1.214,             0.00054463,             0.00054463,             0.00054463
                     59,                0.71961,                 0.7866,                 1.0142,                 0.5723,                 0.6065,                0.59451,                 0.4233,                  1.042,                 1.4617,                 1.1997,             0.00053225,             0.00053225,             0.00053225
                     60,                0.69945,                0.73477,                 1.0055,                 0.8307,                0.47226,                0.61545,                0.43263,                 1.0315,                  1.451,                 1.1964,             0.00051988,             0.00051988,             0.00051988
                     61,                0.71682,                0.73547,                  1.028,                0.63589,                0.57265,                0.60426,                0.42313,                 1.1327,                 1.4684,                 1.2324,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70204,                0.73773,                   1.01,                0.70504,                0.46689,                0.58191,                0.41108,                 1.0868,                 1.4744,                  1.239,             0.00049513,             0.00049513,             0.00049513
                     63,                0.69903,                0.70589,                   1.01,                0.62574,                0.58146,                0.59451,                0.41287,                 1.0552,                 1.4567,                 1.2026,             0.00048275,             0.00048275,             0.00048275
                     64,                0.68606,                0.70886,                 1.0038,                0.61943,                0.55277,                0.59314,                 0.4262,                 1.0313,                 1.5477,                 1.2114,             0.00047038,             0.00047038,             0.00047038
                     65,                0.67794,                0.70043,                 1.0022,                0.63403,                0.60649,                 0.6136,                0.43301,                 1.0527,                 1.5336,                 1.1778,               0.000458,               0.000458,               0.000458
                     66,                0.67537,                0.67341,                  1.005,                0.74172,                0.53933,                0.62461,                0.43209,                 1.0968,                 1.4474,                 1.2374,             0.00044563,             0.00044563,             0.00044563
                     67,                0.66693,                0.69513,                0.99187,                0.68217,                 0.5462,                0.61242,                0.43907,                 1.0405,                 1.4798,                 1.1978,             0.00043325,             0.00043325,             0.00043325
                     68,                0.65657,                  0.683,                0.99554,                 0.7165,                0.56208,                0.63995,                0.43132,                 1.1379,                  1.446,                 1.2602,             0.00042087,             0.00042087,             0.00042087
                     69,                0.64921,                0.66775,                0.99546,                0.64865,                0.56189,                0.57768,                0.40301,                 1.1267,                 1.6244,                 1.2806,              0.0004085,              0.0004085,              0.0004085
                     70,                0.65798,                0.63953,                 0.9886,                0.60553,                0.61532,                0.60954,                0.42836,                 1.0567,                 1.4379,                 1.2096,             0.00039613,             0.00039613,             0.00039613
                     71,                0.64766,                0.63916,                0.97713,                0.68436,                0.54189,                0.60568,                0.42792,                  1.107,                  1.513,                 1.2486,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.6791,                0.65164,                 1.0103,                0.64472,                0.52515,                0.59135,                0.39773,                 1.1357,                 1.5925,                 1.2911,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.6548,                0.64817,                0.99246,                0.65061,                0.55405,                0.59857,                0.42419,                 1.0435,                 1.5223,                 1.2118,               0.000359,               0.000359,               0.000359
                     74,                0.64524,                0.62842,                0.98476,                0.67342,                0.52433,                0.57958,                0.40459,                  1.031,                  1.653,                 1.1764,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.6552,                0.63809,                0.98614,                0.70237,                0.56643,                0.63456,                0.45031,                 1.0217,                 1.3825,                 1.1901,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.6334,                 0.6213,                0.98008,                0.74964,                0.55731,                0.63103,                0.44875,                 1.0277,                 1.4444,                 1.1915,             0.00032188,             0.00032188,             0.00032188
                     77,                0.61109,                0.61018,                0.97052,                0.73874,                 0.5239,                0.62781,                0.44395,                 1.0582,                 1.5033,                 1.2226,              0.0003095,              0.0003095,              0.0003095
                     78,                0.61037,                0.59149,                0.96276,                0.70853,                0.55269,                0.62928,                0.44767,                 1.0315,                  1.393,                 1.2082,             0.00029713,             0.00029713,             0.00029713
                     79,                0.60265,                0.58439,                0.96286,                0.69139,                0.57747,                0.64051,                 0.4489,                 1.0247,                 1.4292,                 1.2074,             0.00028475,             0.00028475,             0.00028475
                     80,                0.61223,                0.58312,                0.97245,                0.72252,                0.55384,                0.66249,                0.45053,                 1.0746,                 1.4356,                 1.2178,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.5886,                0.57071,                0.96438,                 0.6345,                0.62066,                0.64713,                0.46533,                 1.0039,                 1.4356,                 1.1897,                0.00026,                0.00026,                0.00026
                     82,                0.58436,                0.57606,                0.96068,                0.55615,                0.63069,                0.62095,                0.43623,                 1.0658,                  1.436,                 1.2389,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.5783,                0.56805,                0.95253,                0.72523,                0.54044,                0.63525,                0.43132,                 1.0917,                 1.4941,                 1.2777,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.5868,                0.55229,                0.95477,                0.72827,                0.59694,                0.64476,                0.44611,                 1.0616,                    1.4,                 1.2621,             0.00022288,             0.00022288,             0.00022288
                     85,                0.56852,                0.55612,                0.95583,                0.74163,                0.55258,                0.65474,                0.45896,                 1.0354,                  1.416,                 1.2309,              0.0002105,              0.0002105,              0.0002105
                     86,                0.57727,                0.56594,                0.95668,                0.64819,                0.63345,                0.65835,                0.47028,                 1.0296,                 1.4429,                 1.2181,             0.00019813,             0.00019813,             0.00019813
                     87,                0.56717,                0.54406,                0.95546,                0.71145,                0.55972,                 0.6293,                0.46081,                  1.014,                 1.4937,                 1.1966,             0.00018575,             0.00018575,             0.00018575
                     88,                0.55389,                0.53857,                0.94709,                0.68023,                 0.5391,                 0.6234,                0.44943,                0.99819,                 1.5182,                 1.1745,             0.00017338,             0.00017338,             0.00017338
                     89,                0.54958,                0.53198,                0.93839,                0.65992,                0.56794,                0.62817,                0.44808,                 1.0177,                 1.4428,                 1.2041,               0.000161,               0.000161,               0.000161
                     90,                 0.5478,                0.52059,                0.94537,                0.68594,                0.60936,                0.64256,                  0.456,                 1.0062,                 1.4005,                 1.1991,             0.00014862,             0.00014862,             0.00014862
                     91,                0.50461,                0.43302,                0.90245,                0.63487,                0.61509,                0.63742,                0.43755,                 1.0453,                 1.4934,                 1.2292,             0.00013625,             0.00013625,             0.00013625
                     92,                0.48852,                0.40791,                0.88977,                0.73364,                0.53059,                0.62378,                0.44166,                 1.0196,                 1.5238,                 1.2181,             0.00012387,             0.00012387,             0.00012387
                     93,                0.48066,                0.40143,                0.88264,                0.72852,                0.52775,                0.62376,                0.45107,                 1.0255,                 1.4999,                 1.2294,              0.0001115,              0.0001115,              0.0001115
                     94,                0.47602,                0.39207,                0.88954,                0.74046,                  0.526,                 0.6435,                0.46299,                 1.0065,                 1.4759,                 1.2158,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.47518,                0.38815,                 0.9001,                0.65084,                0.60474,                0.65574,                0.46895,                 1.0023,                 1.4524,                 1.2203,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.46243,                0.37523,                0.88354,                0.71545,                0.58871,                0.66022,                0.47371,                 1.0046,                 1.4258,                 1.2129,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.45659,                0.37869,                0.87996,                0.78292,                0.53236,                0.65153,                0.46481,                0.99769,                 1.4585,                 1.1996,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.45449,                0.36933,                0.88875,                0.76268,                0.56469,                0.64984,                0.46269,                 1.0055,                 1.4656,                  1.214,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.4494,                0.37399,                0.87501,                0.76173,                0.54217,                0.66143,                0.47035,                0.99788,                 1.4635,                 1.2116,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.44024,                0.36257,                0.86889,                 0.7474,                0.54358,                0.65525,                0.46914,                0.99695,                 1.4674,                 1.2143,             2.4875e-05,             2.4875e-05,             2.4875e-05
